"","X","OPE.ID","School","State","Zip.Code","School.Type","Subsidized.Recipients","Subsidized.Num.of.Loans.Originated","Subsidized.Dollars.of.Loans.Originated","Subsidized.Num.of.Disbursements","Subsidized.Dollars.of.Disbursements","Unsubsidized.Undergrad.Recipients","Unsubsidized.Undergrad.Num.of.Loans.Originated","Unsubsidized.Undergrad.Dollars.of.Loans.Originated","Unsubsidized.Undergrad.Num.of.Disbursements","Unsubsidized.Undergrad.Dollars.of.Disbursements","Unsubsidized.Graduate.Recipients","Unsubsidized.Graduate.Num.of.Loans.Originated","Unsubsidized.Graduate.Dollars.of.Loans.Originated","Unsubsidized.Graduate.Num.of.Disbursements","Unsubsidized.Graduate.Dollars.of.Disbursements","Parent.Plus.Recipients","Parent.Plus.Num.of.Loans.Originated","Parent.Plus.Dollars.of.Loans.Originated","Parent.Plus.Num.of.Disbursements","Parent.Plus.Dollars.of.Disbursements","Grad.Plus.Recipients","Grad.Plus.Num.of.Loans.Originated","Grad.Plus.Dollars.of.Loans.Originated","Grad.Plus.Num.of.Disbursements","Grad.Plus.Dollars.of.Disbursements"
"309",309,153700,"UNIVERSITY OF SOUTH FLORIDA","FL","336206960","Public",5510,5530,12362565,5530,12362565,5122,5187,12698566,5187,12698566,3185,3224,39288610,3224,29970002,419,428,5599701,428,2664804,451,471,6796311,471,3371223
"310",310,153800,"UNIVERSITY OF TAMPA (THE)","FL","336061490","Private-Nonprofit",1658,1736,7337301,1737,3750932,2082,2148,7765736,2148,3927495,243,300,4018047,300,1884470,785,815,18821475,815,9709879,64,65,2204420,65,758539
"311",311,154000,"WEBBER INTERNATIONAL UNIVERSITY","FL","338270096","Private-Nonprofit",864,864,3536458,864,1768903,891,953,3082152,953,1541167,11,11,179958,11,74581,265,265,4102650,265,2048320,1,1,10000,1,3334
"312",312,154100,"ABRAHAM BALDWIN AGRICULTURAL COLLEGE","GA","317932601","Public",821,836,3202089,836,1604910,999,1080,4183265,1080,2099157,NA,NA,NA,NA,NA,112,118,896113,118,448069,NA,NA,NA,NA,NA
"313",313,154200,"AGNES SCOTT COLLEGE","GA","300303770","Private-Nonprofit",385,385,1710674,385,864645,425,435,1411913,435,708827,37,37,602243,37,257765,69,69,836891,69,434385,7,7,182561,7,66893
"314",314,154400,"ALBANY STATE UNIVERSITY","GA","317052796","Public",2722,2731,10767054,2732,5387292,2782,2960,9841947,2961,4922093,191,194,3204209,195,1607264,322,324,2817465,325,1416970,4,4,83176,4,41588
"315",315,154500,"ANDREW COLLEGE","GA","398401395","Private-Nonprofit",107,107,416151,107,208077,124,129,504963,129,252481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",316,154700,"POINT UNIVERSITY","GA","318331200","Private-Nonprofit",232,234,998276,236,504294,260,264,891404,265,451452,7,7,99587,7,41372,33,33,397058,33,196282,NA,NA,NA,NA,NA
"317",317,155400,"BERRY COLLEGE","GA","301495007","Private-Nonprofit",467,468,1879107,468,944927,677,692,2721747,692,1369668,18,18,316000,18,158000,161,162,2524391,162,1296337,NA,NA,NA,NA,NA
"318",318,155500,"THOMAS UNIVERSITY","GA","317927499","Private-Nonprofit",322,322,1465469,323,748245,290,293,1372586,296,718518,424,424,8123856,424,2790758,21,21,239947,21,133466,12,12,162768,12,56176
"319",319,155600,"BRENAU UNIVERSITY","GA","305013668","Private-Nonprofit",745,745,3206803,750,1612075,832,832,4519016,860,2309241,758,758,14209620,765,7011661,41,41,670391,46,327759,215,215,3889625,222,2014779
"320",320,155700,"BREWTON PARKER COLLEGE","GA","304450000","Private-Nonprofit",248,248,994300,249,496654,254,254,884342,255,445963,NA,NA,NA,NA,NA,50,50,522932,51,261477,NA,NA,NA,NA,NA
"321",321,155800,"COLLEGE OF COASTAL GEORGIA","GA","315203644","Public",697,715,2846874,715,1426056,720,750,3291734,750,1645794,NA,NA,NA,NA,NA,72,76,567268,76,283632,NA,NA,NA,NA,NA
"322",322,155900,"CLARK ATLANTA UNIVERSITY","GA","303144385","Private-Nonprofit",2173,2173,9668833,2369,4835671,2127,2127,7456628,2322,3731565,478,478,8977969,492,4494894,1302,1307,29219996,1349,14675935,171,171,2859717,175,1465167
"323",323,156000,"COLUMBIA THEOLOGICAL SEMINARY","GA","300310520","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,261034,20,144212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",324,156100,"COLUMBUS STATE UNIVERSITY","GA","319075645","Public",2284,2294,9222265,2297,4804377,2273,2308,8937508,2330,4661494,521,527,7803614,527,4112741,274,285,2739979,285,1462825,32,33,314575,33,166738
"325",325,156300,"EMMANUEL COLLEGE","GA","306390000","Private-Nonprofit",285,285,1183453,287,593596,346,383,1416689,385,707642,NA,NA,NA,NA,NA,153,153,1870685,154,939069,NA,NA,NA,NA,NA
"326",326,156400,"EMORY UNIVERSITY","GA","303221960","Private-Nonprofit",1459,1487,6106358,1487,3151055,1515,1551,6238949,1551,3223687,2653,2694,64960713,2694,34130811,148,151,4212641,151,2122531,1145,1196,34998085,1196,18266695
"327",327,156600,"FORT VALLEY STATE UNIVERSITY","GA","310303298","Public",1791,1791,7349364,1793,3685708,1768,1768,6695830,1782,3359779,214,214,3918811,215,1971785,398,400,4005605,404,2034252,12,12,163576,13,84295
"328",328,156800,"INTERDENOMINATIONAL THEOLOGICAL CENTER","GA","303144143","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,2534349,131,1267176,NA,NA,NA,NA,NA,11,11,180131,11,90065
"329",329,156900,"GEORGIA INSTITUTE OF TECHNOLOGY","GA","303320325","Public",2321,2349,9031134,2349,5112174,2693,2767,10064810,2767,5740796,936,953,16029456,953,8819261,948,962,17936765,962,10388148,440,464,5193443,464,2975290
"330",330,157100,"GEORGIA MILITARY COLLEGE","GA","310613398","Public",977,1006,2991698,1741,1694426,883,902,3352460,1524,1682109,NA,NA,NA,NA,NA,32,32,371625,37,132426,NA,NA,NA,NA,NA
"331",331,157200,"GEORGIA SOUTHERN UNIVERSITY","GA","304588065","Public",7424,7581,30980678,7581,15587567,8215,8681,34106455,8681,17160205,1477,1565,20115828,1565,10205499,1192,1226,13665544,1226,7193193,45,45,419272,45,223378
"332",332,157300,"GEORGIA SOUTHWESTERN STATE UNIVERSITY","GA","317094693","Public",839,850,3495332,850,1784177,889,950,3618165,950,1848385,256,262,3004147,262,1507205,101,106,666634,106,337517,NA,NA,NA,NA,NA
"333",333,157400,"GEORGIA STATE UNIVERSITY","GA","303033010","Public",13135,13135,53153245,13135,27784864,12659,13186,54055486,13187,27960569,2220,2220,35601628,2220,19460750,880,885,13226079,886,6848570,507,507,10257270,507,5451592
"334",334,157500,"GORDON STATE COLLEGE","GA","302041762","Public",956,958,3599508,958,1800108,1029,1096,4203279,1096,2099642,NA,NA,NA,NA,NA,80,80,501916,80,250604,NA,NA,NA,NA,NA
"335",335,157700,"KENNESAW STATE UNIVERSITY","GA","301445591","Public",10527,12020,42923385,12021,22282593,10884,11269,43442998,11269,22445776,1500,1510,24117917,1510,12082592,1170,1210,16398485,1210,8490261,53,55,573095,55,295011
"336",336,157800,"LAGRANGE COLLEGE","GA","302402999","Private-Nonprofit",408,413,1822424,413,914696,505,520,1961803,520,989810,69,72,1321813,73,466641,80,81,1047601,81,588172,10,10,109949,11,62706
"337",337,157900,"AUGUSTA UNIVERSITY","GA","309090004","Public",1875,1914,8091391,1914,4071333,1943,2031,8278296,2031,4211348,1497,1543,37640217,1543,18935363,271,281,3291806,281,1698174,734,754,14316830,754,6114462
"338",338,158000,"MERCER UNIVERSITY","GA","312070001","Private-Nonprofit",1789,1835,7828815,1837,4031184,2106,2196,9200274,2207,4797983,2335,2538,58366114,2578,26623742,274,276,4579635,281,2397598,984,1051,20403097,1132,9951071
"339",339,158100,"MIDDLE GEORGIA STATE UNIVERSITY","GA","312065145","Public",2202,2223,8543008,2223,4287532,1949,2117,8428947,2119,4224150,69,71,1118771,71,550021,432,438,4796116,438,2399587,23,23,130846,23,65424
"340",340,158200,"MOREHOUSE COLLEGE","GA","303143773","Private-Nonprofit",830,831,3522519,831,1759916,847,917,2780222,917,1390120,NA,NA,NA,NA,NA,532,534,16277717,534,8063385,NA,NA,NA,NA,NA
"341",341,158500,"UNIVERSITY OF NORTH GEORGIA","GA","305970001","Public",2944,2955,10987831,2955,5869102,3460,3473,14507516,3473,7682431,256,258,3409137,258,1767064,280,288,3127149,288,1599433,5,5,43342,5,21671
"342",342,158600,"OGLETHORPE UNIVERSITY","GA","303192737","Private-Nonprofit",270,270,1202920,270,602680,317,317,1004149,317,502592,NA,NA,NA,NA,NA,78,78,1350022,78,620554,NA,NA,NA,NA,NA
"343",343,158700,"PAINE COLLEGE","GA","309013182","Private-Nonprofit",114,114,501927,114,250964,105,138,346062,138,174412,NA,NA,NA,NA,NA,7,7,90599,7,42800,NA,NA,NA,NA,NA
"344",344,158800,"PIEDMONT COLLEGE","GA","305355644","Private-Nonprofit",659,659,2887848,659,1470497,765,765,3473419,766,1757831,776,776,14334548,781,4934093,122,122,1741160,123,909704,12,12,159072,14,63312
"345",345,158900,"REINHARDT UNIVERSITY","GA","301832900","Private-Nonprofit",463,463,1971504,463,1013976,510,534,1826160,534,927996,28,28,409796,28,204898,121,121,1825670,121,926704,1,1,5000,1,2500
"346",346,159000,"SAVANNAH STATE UNIVERSITY","GA","314045298","Public",1848,1848,7161518,1850,3574887,1861,2192,7800801,2196,3902754,152,152,2704049,154,1358816,288,297,2230640,297,1119803,13,13,50436,13,25218
"347",347,159100,"SHORTER UNIVERSITY","GA","301654298","Private-Nonprofit",443,443,1796086,443,903797,541,582,2225354,582,1131017,24,24,415645,24,213698,190,192,1923443,192,974513,NA,NA,NA,NA,NA
"348",348,159200,"SOUTH GEORGIA STATE COLLEGE","GA","315338104","Public",448,456,1634234,456,818186,432,450,1802664,450,899294,NA,NA,NA,NA,NA,34,35,229812,36,115296,NA,NA,NA,NA,NA
"349",349,159400,"SPELMAN COLLEGE","GA","303144399","Private-Nonprofit",851,851,3911809,853,1960034,945,945,3269936,946,1639003,NA,NA,NA,NA,NA,637,642,14063098,667,7148209,NA,NA,NA,NA,NA
"350",350,159600,"TOCCOA FALLS COLLEGE","GA","305980001","Private-Nonprofit",470,470,1987845,470,893248,498,521,1842903,521,811929,15,15,110542,15,42192,81,81,919090,81,493250,NA,NA,NA,NA,NA
"351",351,159700,"TRUETT MCCONNELL UNIVERSITY","GA","305281264","Private-Nonprofit",328,328,1365643,328,682559,385,405,1496334,405,748407,24,24,259758,24,128402,66,66,800778,66,400384,NA,NA,NA,NA,NA
"352",352,159800,"UNIVERSITY OF GEORGIA","GA","306024212","Public",4717,4717,20078899,4717,10359917,6402,6402,28189515,6402,14454525,2842,2842,57793840,2842,27540445,2106,2123,28231732,2123,14757390,1158,1159,15075911,1159,6871595
"353",353,159900,"VALDOSTA STATE UNIVERSITY","GA","316980001","Public",4000,4020,16508960,4026,8375361,3958,4389,16126616,4391,8210327,1055,1058,15867779,1061,6338407,1127,1137,12243453,1138,6395437,411,411,5012230,411,1912605
"354",354,160000,"WESLEYAN COLLEGE","GA","312104462","Private-Nonprofit",172,172,712284,172,380542,209,220,849514,220,447518,8,8,95146,8,51466,22,22,220827,22,122745,NA,NA,NA,NA,NA
"355",355,160100,"UNIVERSITY OF WEST GEORGIA","GA","301180002","Public",3586,3588,14132827,3588,7298925,3757,3994,14752997,3994,7581808,1431,1431,18324862,1431,9304293,774,775,6736790,775,3516418,23,23,197275,23,121052
"356",356,160200,"GEORGIA COLLEGE & STATE UNIVERSITY","GA","310610490","Public",1236,1345,5085498,1346,2562911,1977,2208,8423941,2208,4238067,563,581,9467766,581,4758056,318,321,3647091,321,1910725,21,25,148896,25,77991
"357",357,160400,"YOUNG HARRIS COLLEGE","GA","305824137","Private-Nonprofit",411,411,1732400,411,857506,502,503,1805527,503,904117,10,10,94500,10,47250,102,102,1278088,102,662927,1,1,26000,1,13000
"358",358,160500,"CHAMINADE UNIVERSITY OF HONOLULU","HI","968161578","Private-Nonprofit",343,344,1492714,373,756458,371,371,1859331,402,938681,195,197,3564657,310,1785649,79,79,1687824,79,849329,51,52,1205103,77,576483
"359",359,160600,"BRIGHAM YOUNG UNIVERSITY - HAWAII","HI","967621294","Private-Nonprofit",74,74,332317,74,128772,54,56,132086,56,109669,NA,NA,NA,NA,NA,3,3,11875,3,11875,NA,NA,NA,NA,NA
"360",360,161000,"UNIVERSITY OF HAWAII AT MANOA","HI","968222399","Public",2601,2601,11560298,2615,5857384,2732,2732,12136714,2750,6145341,970,971,18396600,987,9259680,1191,1200,24467881,1211,12298476,434,434,6615867,454,3168492
"361",361,161100,"UNIVERSITY OF HAWAII AT HILO","HI","967204091","Public",637,651,2866409,651,1452211,627,641,2995295,641,1524631,290,297,7933422,297,3983547,64,64,1083681,64,556639,189,191,4502729,191,2236995
"362",362,161200,"HONOLULU COMMUNITY COLLEGE","HI","968174598","Public",33,33,108056,33,54028,38,40,168219,40,84111,NA,NA,NA,NA,NA,3,3,34952,3,17476,NA,NA,NA,NA,NA
"363",363,161300,"KAPIOLANI COMMUNITY COLLEGE","HI","968164421","Public",280,280,970834,280,492272,286,294,1458429,294,737534,NA,NA,NA,NA,NA,6,6,90657,6,45333,NA,NA,NA,NA,NA
"364",364,161400,"KAUAI COMMUNITY COLLEGE","HI","967669591","Public",25,27,94803,27,49402,23,26,132662,26,70378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",365,161500,"UNIVERSITY OF HAWAII MAUI COLLEGE","HI","967321644","Public",89,89,337345,89,168675,80,80,407473,80,203739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",366,161600,"BOISE STATE UNIVERSITY","ID","837251000","Public",3889,4004,16214111,4004,8426594,4563,4748,22293334,4748,11552286,891,921,14342019,921,7341051,524,525,10461527,525,5430150,41,41,382984,41,204588
"367",367,161700,"COLLEGE OF IDAHO (THE)","ID","836054432","Private-Nonprofit",273,273,1195265,275,600388,323,323,1103963,325,552717,NA,NA,NA,NA,NA,45,45,565109,45,277468,NA,NA,NA,NA,NA
"368",368,161900,"COLLEGE OF SOUTHERN IDAHO","ID","833033398","Public",360,362,1239632,362,625357,183,191,774070,191,388671,NA,NA,NA,NA,NA,6,6,31790,6,15896,NA,NA,NA,NA,NA
"369",369,162000,"IDAHO STATE UNIVERSITY","ID","832095377","Public",2237,2238,9202993,2238,4738006,1968,1973,9666326,1973,5015221,983,983,16059033,983,8988126,65,66,828590,66,422592,233,236,3658441,236,2108645
"370",370,162100,"LEWIS-CLARK STATE COLLEGE","ID","835012698","Public",925,925,3688787,934,1881938,900,900,4569951,907,2322833,NA,NA,NA,NA,NA,37,37,371676,37,187684,NA,NA,NA,NA,NA
"371",371,162300,"NORTH IDAHO COLLEGE","ID","838142199","Public",618,618,2301375,619,581370,272,272,1521674,272,385347,NA,NA,NA,NA,NA,11,11,119898,11,59946,NA,NA,NA,NA,NA
"372",372,162400,"NORTHWEST NAZARENE UNIVERSITY","ID","836865897","Private-Nonprofit",502,502,2242223,507,1113700,555,566,2284592,574,1104037,367,367,7036840,390,2426217,55,55,831510,59,420347,19,19,281706,21,112783
"373",373,162500,"BRIGHAM YOUNG UNIVERSITY - IDAHO","ID","834601650","Private-Nonprofit",2947,2962,10500155,3075,5571641,2563,2573,11609226,2688,6159058,NA,NA,NA,NA,NA,21,21,159328,23,82383,NA,NA,NA,NA,NA
"374",374,162600,"UNIVERSITY OF IDAHO","ID","838444291","Public",1892,1892,8129031,1960,4165123,2079,2185,9480712,2243,4866366,754,754,13309755,796,6716491,525,526,6953450,538,3530325,378,379,6504836,395,3265202
"375",375,162800,"AMERICAN ACADEMY OF ART","IL","606044302","Proprietary",99,99,471685,99,238043,99,99,352600,99,177258,NA,NA,NA,NA,NA,41,42,1122055,42,569833,NA,NA,NA,NA,NA
"376",376,163200,"AQUINAS INSTITUTE OF THEOLOGY","MO","631083323","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,78500,5,35833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",377,163300,"AUGUSTANA COLLEGE","IL","612012296","Private-Nonprofit",1036,1038,4679914,1038,2357692,1324,1375,4697394,1375,2364660,11,11,150326,11,75163,188,193,3001984,193,1526931,4,4,70498,4,35249
"378",378,163400,"AURORA UNIVERSITY","IL","605064892","Private-Nonprofit",1662,1662,7296368,1662,3742413,1663,1663,6862247,1663,3590360,1204,1204,16659913,1204,8737261,200,200,2355852,200,1214052,20,20,212693,20,109667
"379",379,163600,"SOUTHWESTERN ILLINOIS COLLEGE","IL","622215899","Public",478,478,1610740,478,810649,178,178,754391,179,378640,NA,NA,NA,NA,NA,8,8,40445,8,20224,NA,NA,NA,NA,NA
"380",380,163700,"BETHANY THEOLOGICAL SEMINARY","IN","473744019","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,35303,5,35303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",381,163800,"BLACK HAWK COLLEGE","IL","612655899","Public",172,177,546032,177,273782,188,200,609912,200,304308,NA,NA,NA,NA,NA,16,16,86345,16,43174,NA,NA,NA,NA,NA
"382",382,163900,"BLACKBURN UNIVERSITY","IL","626261498","Private-Nonprofit",127,127,527877,127,266743,168,173,558179,173,283240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",383,164000,"PRAIRIE STATE COLLEGE","IL","604118226","Public",151,151,562147,174,323790,167,167,708285,183,376675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",384,164100,"BRADLEY UNIVERSITY","IL","616250002","Private-Nonprofit",2267,2268,10355390,2268,5229141,2674,2759,9287210,2759,4671788,754,754,14906199,754,5118345,582,589,11124826,589,5602889,77,77,1568131,77,550412
"385",385,164300,"SPOON RIVER COLLEGE","IL","615208907","Public",104,105,335725,105,169056,102,132,345380,132,172867,NA,NA,NA,NA,NA,4,4,21800,4,10900,NA,NA,NA,NA,NA
"386",386,165700,"MIDWESTERN UNIVERSITY","IL","605151200","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2606,2614,94144213,2617,30932445,NA,NA,NA,NA,NA,2375,3040,114632471,3043,38640321
"387",387,165900,"ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE","IL","600643095","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1511,1511,45177929,1511,15228150,NA,NA,NA,NA,NA,1336,1472,36937223,1472,12443160
"388",388,166100,"CHICAGO THEOLOGICAL SEMINARY","IL","606372902","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,106,1522674,106,900621,NA,NA,NA,NA,NA,17,17,240836,17,136955
"389",389,166400,"UNIVERSITY OF ST. FRANCIS","IL","604356188","Private-Nonprofit",735,735,3294442,735,1726515,785,785,3544388,785,1874909,414,414,6334827,414,2272634,215,215,2990066,215,1538908,40,40,850082,40,281462
"390",390,166500,"COLUMBIA COLLEGE CHICAGO","IL","606051996","Private-Nonprofit",2883,2942,12845196,2942,6489164,3255,3437,11686136,3437,5911696,110,112,2224570,112,1038777,799,862,19278866,862,9727101,62,65,1864438,65,820792
"391",391,166600,"CONCORDIA UNIVERSITY","IL","603051499","Private-Nonprofit",585,587,2546520,587,1273517,617,623,2447867,623,1225136,517,517,7417218,518,3680370,71,74,866128,74,433054,29,29,336701,29,165095
"392",392,166900,"DANVILLE AREA COMMUNITY COLLEGE","IL","618325199","Public",24,24,71784,24,35896,35,35,181101,35,90552,NA,NA,NA,NA,NA,1,1,8500,1,4250,NA,NA,NA,NA,NA
"393",393,167100,"DEPAUL UNIVERSITY","IL","606042287","Private-Nonprofit",4834,4885,19849455,4891,7495335,4985,5112,17261155,5113,6615805,3220,3255,49697533,3260,22149562,1432,1442,31863670,1443,11460784,931,972,17037496,975,8519416
"394",394,167400,"EASTERN ILLINOIS UNIVERSITY","IL","619203099","Public",1717,1733,7565869,1741,3771733,1920,1968,7238685,1977,3712840,352,353,5153620,357,2617372,167,170,1842078,173,968368,9,9,30763,10,18551
"395",395,167500,"ELGIN COMMUNITY COLLEGE","IL","601237193","Public",142,142,351848,147,122563,191,191,714769,198,234520,NA,NA,NA,NA,NA,2,2,7836,4,4868,NA,NA,NA,NA,NA
"396",396,167600,"ELMHURST UNIVERSITY","IL","601263296","Private-Nonprofit",1247,1248,5712874,1248,2872425,1198,1229,4314626,1229,2166394,222,226,4226275,226,2135907,235,246,4283177,246,2192692,55,60,773805,60,404207
"397",397,167800,"EUREKA COLLEGE","IL","615309976","Private-Nonprofit",219,219,922280,219,473028,229,229,726447,229,378751,NA,NA,NA,NA,NA,36,36,460838,36,240612,NA,NA,NA,NA,NA
"398",398,168100,"HIGHLAND COMMUNITY COLLEGE","IL","610329341","Public",59,59,203496,61,102876,53,53,172532,53,86270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",399,168200,"GARRETT-EVANGELICAL THEOLOGICAL SEMINARY","IL","602012926","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,618851,40,320903,NA,NA,NA,NA,NA,9,9,160949,9,80474
"400",400,168400,"GREENVILLE UNIVERSITY","IL","622461199","Private-Nonprofit",352,352,1548188,352,778325,397,399,1849460,399,930163,60,60,676874,60,294818,114,114,1761043,114,874779,NA,NA,NA,NA,NA
"401",401,168500,"HEBREW THEOLOGICAL COLLEGE","IL","600773263","Private-Nonprofit",7,7,28500,7,14250,8,8,30000,8,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",402,168800,"ILLINOIS COLLEGE","IL","626502299","Private-Nonprofit",663,663,2849681,663,1430479,803,840,2876565,840,1428726,NA,NA,NA,NA,NA,116,116,1335448,116,678895,NA,NA,NA,NA,NA
"403",403,168900,"ILLINOIS COLLEGE OF OPTOMETRY","IL","606163878","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,376,16076298,376,4684268,NA,NA,NA,NA,NA,323,420,7187988,420,2066719
"404",404,169100,"ILLINOIS INSTITUTE OF TECHNOLOGY","IL","606163717","Private-Nonprofit",760,768,3404513,768,1711268,713,750,2688839,750,1357072,677,703,13222688,703,6780645,196,205,3644768,205,1841282,361,424,7194745,424,3635573
"405",405,169200,"ILLINOIS STATE UNIVERSITY","IL","617901000","Public",6012,6066,25762705,6066,13213834,6831,7049,24500477,7049,12546579,446,479,6187372,479,3176324,1332,1397,22872487,1397,11598195,3,3,35743,3,24446
"406",406,169300,"NORTHEASTERN ILLINOIS UNIVERSITY","IL","606254699","Public",296,296,1319365,296,691496,249,257,1187848,257,633868,179,193,2357959,193,1190062,13,13,194663,13,97333,3,3,18922,3,9462
"407",407,169400,"CHICAGO STATE UNIVERSITY","IL","606281598","Public",590,591,2454049,594,1275091,594,594,3672639,598,1897927,512,512,11375268,517,5859279,23,23,245771,23,142265,275,277,2907075,281,1484843
"408",408,169600,"ILLINOIS WESLEYAN UNIVERSITY","IL","617022900","Private-Nonprofit",788,789,3573436,789,1781610,915,919,3055117,919,1531723,NA,NA,NA,NA,NA,170,170,3395159,170,1748363,NA,NA,NA,NA,NA
"409",409,169900,"JOLIET JUNIOR COLLEGE","IL","604318938","Public",240,244,746645,244,373702,319,323,1151249,323,576564,NA,NA,NA,NA,NA,2,2,8500,2,4250,NA,NA,NA,NA,NA
"410",410,170000,"JUDSON UNIVERSITY","IL","601231498","Private-Nonprofit",409,409,1723079,409,900913,486,498,2083616,499,1090220,87,88,1455846,88,764723,42,43,485339,43,272999,1,1,4300,1,4300
"411",411,170400,"KNOX COLLEGE","IL","614014999","Private-Nonprofit",441,441,2079841,441,693149,472,478,1410884,478,472142,NA,NA,NA,NA,NA,57,57,897295,57,309089,NA,NA,NA,NA,NA
"412",412,170500,"ILLINOIS VALLEY COMMUNITY COLLEGE","IL","613489692","Public",36,36,119191,36,59598,48,48,184723,48,92367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",413,170600,"LAKE FOREST COLLEGE","IL","600452399","Private-Nonprofit",582,582,2674706,582,1342755,661,677,2354655,677,1181444,6,6,106000,6,54750,50,50,776137,50,407394,1,1,2000,1,1000
"414",414,170700,"LEWIS UNIVERSITY","IL","604462200","Private-Nonprofit",1194,1198,5348489,1198,2716181,1313,1330,5502186,1330,2763064,530,530,8983801,530,3451354,207,210,3591876,210,1894015,55,55,1017444,55,348372
"415",415,170800,"LINCOLN CHRISTIAN UNIVERSITY","IL","626562167","Private-Nonprofit",139,139,593806,139,278791,129,133,466628,134,218679,72,72,1035034,72,486939,18,18,218186,18,111043,NA,NA,NA,NA,NA
"416",416,170900,"LINCOLN COLLEGE","IL","626561699","Private-Nonprofit",429,429,1685234,429,843576,422,478,1338453,478,667770,4,4,82000,4,27336,45,45,433385,45,216692,NA,NA,NA,NA,NA
"417",417,171000,"LOYOLA UNIVERSITY CHICAGO","IL","606112196","Private-Nonprofit",3731,3811,16678096,3811,8514127,4568,4721,17126443,4721,8736223,1832,1870,34661010,1870,16932660,1221,1254,27868234,1254,14593447,783,873,16371925,873,8537102
"418",418,172200,"MCKENDREE UNIVERSITY","IL","622541299","Private-Nonprofit",469,469,1986318,469,995904,532,532,2037899,533,1015725,82,82,1112733,82,572550,184,187,2948726,187,1452028,NA,NA,NA,NA,NA
"419",419,172300,"MEADVILLE THEOLOGICAL SCHOOL OF LOMBARD COLLEGE","IL","606051602","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,403607,24,176735,NA,NA,NA,NA,NA,3,3,102270,3,34090
"420",420,172400,"MILLIKIN UNIVERSITY","IL","625222084","Private-Nonprofit",821,828,3625893,832,1823646,886,931,3473658,934,1745922,63,63,1206988,63,634161,233,236,3729287,241,1876513,44,44,1129676,46,400031
"421",421,172500,"MONMOUTH COLLEGE","IL","614621963","Private-Nonprofit",447,448,1959375,448,979708,536,552,2061478,552,1030605,NA,NA,NA,NA,NA,194,201,2365673,201,1182896,NA,NA,NA,NA,NA
"422",422,172700,"MOODY BIBLE INSTITUTE","IL","606103214","Private-Nonprofit",386,386,1542995,388,774874,433,435,2036063,435,1018726,136,136,2240882,137,1114736,15,15,151861,15,75932,4,4,60420,4,30210
"423",423,172800,"MORTON COLLEGE","IL","608044398","Public",25,25,93000,27,48250,22,22,102000,22,51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",424,173200,"NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE)","IL","601484583","Private-Nonprofit",7,7,28000,7,14792,11,11,92160,12,45248,190,192,5500987,197,2771688,NA,NA,NA,NA,NA,92,98,1149798,101,664463
"425",425,173300,"NATIONAL LOUIS UNIVERSITY","IL","606033032","Private-Nonprofit",488,491,1978418,491,677820,513,519,2793783,519,973395,1162,1201,17706043,1201,5613657,19,19,294308,19,127536,98,99,1221029,99,416886
"426",426,173400,"NORTH CENTRAL COLLEGE","IL","605404690","Private-Nonprofit",1065,1066,4958976,1066,2521791,1237,1277,4489416,1277,2281728,90,90,1440022,90,835943,228,229,3624306,229,1898671,37,37,256909,37,224859
"427",427,173500,"NORTH PARK UNIVERSITY","IL","606254895","Private-Nonprofit",919,919,4093670,919,2089147,1042,1079,3883293,1079,1970520,275,318,3252624,318,1393045,125,127,1853991,127,995425,8,8,200330,8,66780
