OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
277500,MOLLOY COLLEGE,NY,115701100,Private-Nonprofit,"1,396","1,396","$6,506,530.00 ","1,396","$3,254,590.00 ","1,514","1,557","$6,654,751.00 ","1,557","$3,331,061.00 ",367,367,"$6,747,237.00 ",367,"$3,458,764.00 ",419,419,"$7,652,150.00 ",419,"$3,933,355.00 ",47,48,"$786,541.00 ",48,"$404,729.00 "
277700,MEDAILLE COLLEGE,NY,142142695,Private-Nonprofit,621,623,"$2,410,792.00 ",623,"$1,217,007.00 ",699,728,"$2,886,982.00 ",728,"$1,461,024.00 ",135,135,"$2,397,887.00 ",135,"$1,251,331.00 ",81,89,"$917,566.00 ",90,"$478,123.00 ",18,20,"$178,499.00 ",20,"$94,211.00 "
277800,MOUNT SAINT MARY COLLEGE,NY,125503494,Private-Nonprofit,607,607,"$2,834,108.00 ",607,"$1,417,055.00 ",737,745,"$2,866,876.00 ",745,"$1,437,438.00 ",22,22,"$428,781.00 ",22,"$212,591.00 ",228,229,"$4,865,319.00 ",229,"$2,463,641.00 ",2,2,"$21,257.00 ",2,"$10,629.00 "
277900,NAZARETH COLLEGE OF ROCHESTER,NY,146183790,Private-Nonprofit,"1,108","1,110","$5,014,599.00 ","1,111","$2,533,971.00 ","1,335","1,354","$4,610,513.00 ","1,354","$2,421,741.00 ",225,228,"$3,857,439.00 ",228,"$1,933,454.00 ",305,306,"$6,391,825.00 ",306,"$3,234,276.00 ",61,62,"$1,128,193.00 ",62,"$572,850.00 "
278200,NEW YORK INSTITUTE OF TECHNOLOGY,NY,115688000,Private-Nonprofit,986,990,"$4,246,516.00 ",990,"$2,182,244.00 ",964,"1,014","$3,611,877.00 ","1,014","$1,871,257.00 ","1,414","1,426","$52,256,257.00 ","1,426","$26,313,052.00 ",322,333,"$5,869,974.00 ",333,"$3,098,730.00 ","1,074","1,139","$35,355,778.00 ","1,139","$18,395,167.00 "
278300,NEW YORK LAW SCHOOL,NY,100132960,Private-Nonprofit,-,-, -,-, -,2,2,"$11,500.00 ",2,"$5,750.00 ",599,607,"$11,441,235.00 ",608,"$5,853,831.00 ",-,-, -,-, -,500,576,"$14,097,105.00 ",576,"$7,116,221.00 "
278400,NEW YORK MEDICAL COLLEGE,NY,105951600,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,467,480,"$16,330,623.00 ",480,"$8,179,094.00 ",-,-, -,-, -,382,415,"$10,295,539.00 ",415,"$5,183,884.00 "
278500,NEW YORK UNIVERSITY,NY,100121091,Private-Nonprofit,"5,535","5,570","$23,253,137.00 ","5,570","$12,390,623.00 ","5,159","5,354","$15,287,371.00 ","5,354","$8,218,741.00 ","5,329","5,407","$96,733,268.00 ","5,407","$53,476,318.00 ","3,045","3,167","$116,128,139.00 ","3,167","$61,376,138.00 ","4,200","4,537","$154,068,506.00 ","4,537","$84,427,896.00 "
278800,NIAGARA UNIVERSITY,NY,141092010,Private-Nonprofit,990,990,"$4,256,482.00 ",990,"$2,152,833.00 ","1,119","1,150","$3,998,753.00 ","1,150","$2,031,486.00 ",153,153,"$2,600,729.00 ",153,"$1,466,620.00 ",187,187,"$2,622,090.00 ",187,"$1,345,569.00 ",19,19,"$215,996.00 ",19,"$127,354.00 "
279000,NYACK COLLEGE-ROCKLAND CAMPUS,NY,109603698,Private-Nonprofit,189,189,"$836,037.00 ",189,"$430,669.00 ",209,209,"$939,721.00 ",209,"$510,614.00 ",221,225,"$2,958,405.00 ",225,"$1,551,330.00 ",10,10,"$107,853.00 ",10,"$57,327.00 ",2,2,"$21,065.00 ",2,"$10,533.00 "
279100,PACE UNIVERSITY,NY,100381598,Private-Nonprofit,"2,224","2,231","$9,566,917.00 ","2,231","$4,920,606.00 ","2,639","2,767","$9,698,225.00 ","2,767","$5,029,442.00 ","1,334","1,340","$23,906,787.00 ","1,340","$13,392,996.00 ","1,341","1,415","$28,446,541.00 ","1,415","$15,442,405.00 ",489,551,"$9,326,553.00 ",551,"$6,146,591.00 "
279500,PAUL SMITH'S COLLEGE OF ARTS & SCIENCES,NY,129700000,Private-Nonprofit,413,413,"$1,779,865.00 ",413,"$925,040.00 ",440,440,"$1,414,870.00 ",440,"$730,323.00 ",4,4,"$82,000.00 ",4,"$41,000.00 ",94,94,"$1,273,416.00 ",94,"$660,415.00 ",-,-, -,-, -
279800,PRATT INSTITUTE,NY,112053899,Private-Nonprofit,698,698,"$3,202,119.00 ",698,"$1,601,064.00 ",762,769,"$2,517,550.00 ",769,"$1,258,380.00 ",281,281,"$5,448,201.00 ",281,"$2,778,226.00 ",275,283,"$8,669,092.00 ",283,"$4,493,630.00 ",212,220,"$7,252,534.00 ",220,"$4,178,374.00 "
280300,RENSSELAER POLYTECHNIC INSTITUTE,NY,121803590,Private-Nonprofit,"1,773","1,790","$7,547,479.00 ","1,790","$3,963,923.00 ","1,973","1,995","$6,329,551.00 ","1,995","$3,286,583.00 ",113,118,"$1,893,393.00 ",118,"$1,008,824.00 ",188,196,"$5,112,418.00 ",197,"$2,703,747.00 ",17,17,"$361,599.00 ",17,"$192,828.00 "
280500,ROBERTS WESLEYAN COLLEGE,NY,146241997,Private-Nonprofit,551,553,"$2,430,182.00 ",563,"$1,269,203.00 ",613,629,"$2,492,163.00 ",640,"$1,333,103.00 ",253,253,"$4,538,796.00 ",253,"$2,315,097.00 ",80,80,"$1,001,335.00 ",80,"$537,610.00 ",32,32,"$405,533.00 ",32,"$198,709.00 "
280600,ROCHESTER INSTITUTE OF TECHNOLOGY,NY,146235608,Private-Nonprofit,"5,158","5,182","$23,323,574.00 ","5,182","$12,008,360.00 ","5,022","5,157","$15,444,329.00 ","5,157","$7,929,680.00 ",387,387,"$7,134,048.00 ",387,"$3,845,577.00 ",849,880,"$18,655,919.00 ",880,"$9,675,718.00 ",75,79,"$1,422,537.00 ",79,"$715,995.00 "
280800,DAEMEN COLLEGE,NY,142263592,Private-Nonprofit,23,23,"$80,338.00 ",23,"$32,091.00 ",19,19,"$71,399.00 ",19,"$35,672.00 ",86,86,"$1,667,337.00 ",86,"$548,132.00 ",1,1,"$15,895.00 ",1,"$3,715.00 ",10,10,"$223,905.00 ",10,"$70,439.00 "
281000,RUSSELL SAGE COLLEGE,NY,121804199,Private-Nonprofit,735,735,"$3,259,905.00 ",735,"$1,691,684.00 ",716,718,"$2,476,832.00 ",718,"$1,306,927.00 ",178,178,"$3,182,895.00 ",178,"$1,671,835.00 ",110,112,"$1,430,938.00 ",112,"$770,225.00 ",3,4,"$12,428.00 ",4,"$6,214.00 "
281200,TROCAIRE COLLEGE,NY,142202094,Private-Nonprofit,601,601,"$2,090,976.00 ",601,"$1,137,208.00 ",748,748,"$4,146,574.00 ",748,"$2,239,692.00 ",-,-, -,-, -,25,25,"$325,583.00 ",25,"$172,831.00 ",-,-, -,-, -
281300,SARAH LAWRENCE COLLEGE,NY,107085999,Private-Nonprofit,460,460,"$2,057,746.00 ",460,"$1,031,372.00 ",556,558,"$1,833,552.00 ",558,"$916,776.00 ",97,97,"$1,906,374.00 ",97,"$967,562.00 ",104,104,"$2,319,140.00 ",104,"$1,283,234.00 ",37,38,"$697,183.00 ",38,"$354,970.00 "
281400,SKIDMORE COLLEGE,NY,128661632,Private-Nonprofit,512,512,"$2,077,679.00 ",515,"$1,057,133.00 ",576,576,"$2,178,773.00 ",579,"$1,100,272.00 ",-,-, -,-, -,68,69,"$1,881,809.00 ",69,"$972,738.00 ",-,-, -,-, -
281600,SIENA COLLEGE,NY,122111462,Private-Nonprofit,"1,411","1,411","$6,334,192.00 ","1,413","$3,173,450.00 ","1,690","1,690","$5,884,466.00 ","1,698","$2,944,728.00 ",46,46,"$877,800.00 ",46,"$463,112.00 ",217,218,"$4,210,291.00 ",220,"$2,245,868.00 ",10,10,"$212,155.00 ",10,"$107,080.00 "
281700,ST. BONAVENTURE UNIVERSITY,NY,147782284,Private-Nonprofit,925,926,"$4,098,290.00 ",926,"$2,053,306.00 ","1,127","1,169","$3,996,545.00 ","1,169","$2,002,863.00 ",11,11,"$149,210.00 ",11,"$85,960.00 ",238,247,"$3,826,826.00 ",247,"$2,250,332.00 ",5,5,"$58,772.00 ",5,"$29,385.00 "
282000,SAINT FRANCIS COLLEGE,NY,112014398,Private-Nonprofit,419,423,"$1,769,336.00 ",427,"$893,740.00 ",337,349,"$1,133,561.00 ",350,"$566,783.00 ",6,7,"$113,385.00 ",7,"$56,535.00 ",71,76,"$798,652.00 ",82,"$416,128.00 ",1,1,"$8,000.00 ",1,"$4,000.00 "
282100,ST JOHN FISHER COLLEGE,NY,146183597,Private-Nonprofit,"1,319","1,319","$5,750,896.00 ","1,324","$3,024,610.00 ","1,547","1,570","$5,282,467.00 ","1,573","$2,763,281.00 ",292,292,"$7,232,929.00 ",292,"$3,647,394.00 ",343,344,"$6,519,153.00 ",345,"$3,317,991.00 ",175,176,"$2,571,197.00 ",177,"$1,289,176.00 "
282300,SAINT JOHN'S UNIVERSITY,NY,114391343,Private-Nonprofit,"2,775","2,785","$12,542,540.00 ","2,785","$6,329,548.00 ","3,099","3,220","$11,056,295.00 ","3,220","$5,563,314.00 ","1,504","1,512","$32,181,216.00 ","1,512","$16,276,122.00 ","1,721","1,768","$40,052,912.00 ","1,768","$20,289,567.00 ","1,059","1,072","$25,552,637.00 ","1,072","$12,797,470.00 "
282500,SAINT JOSEPH'S COLLEGE,NY,112053688,Private-Nonprofit,"1,208","1,218","$5,395,281.00 ","1,218","$2,797,879.00 ","1,511","1,556","$6,947,317.00 ","1,556","$3,630,415.00 ",325,326,"$4,923,029.00 ",326,"$2,680,860.00 ",183,185,"$2,732,754.00 ",188,"$1,432,387.00 ",5,5,"$88,080.00 ",5,"$44,040.00 "
282900,ST. LAWRENCE UNIVERSITY,NY,136171455,Private-Nonprofit,382,382,"$1,722,566.00 ",382,"$873,431.00 ",422,424,"$1,308,563.00 ",424,"$664,683.00 ",-,-, -,-, -,79,80,"$1,659,604.00 ",80,"$827,819.00 ",-,-, -,-, -
283500,STATE UNIVERSITY OF NEW YORK AT ALBANY,NY,122220001,Public,"3,453","3,475","$15,086,077.00 ","3,475","$7,601,113.00 ","3,694","3,798","$13,446,030.00 ","3,798","$6,755,982.00 ","1,085","1,122","$17,457,567.00 ","1,122","$8,887,577.00 ",455,457,"$6,919,594.00 ",457,"$3,538,525.00 ",62,64,"$559,823.00 ",64,"$291,578.00 "
283600,BINGHAMTON UNIVERSITY,NY,139026000,Public,"3,574","3,625","$15,428,737.00 ","3,633","$7,789,702.00 ","4,168","4,506","$16,192,510.00 ","4,521","$8,166,103.00 ",982,"1,008","$19,614,164.00 ","1,014","$10,039,069.00 ",691,735,"$10,840,327.00 ",746,"$5,664,214.00 ",144,150,"$1,846,813.00 ",152,"$984,367.00 "
283700,STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,142600001,Public,"5,622","5,675","$24,048,489.00 ","5,675","$12,246,609.00 ","5,801","5,963","$21,556,559.00 ","5,963","$10,961,452.00 ","3,404","3,515","$76,325,499.00 ","3,516","$38,463,045.00 ",624,638,"$9,355,805.00 ",650,"$4,876,628.00 ",844,938,"$19,325,092.00 ",969,"$10,271,685.00 "
283800,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,NY,117940701,Public,"3,608","3,686","$15,178,061.00 ","3,686","$7,764,443.00 ","3,435","3,612","$12,858,108.00 ","3,612","$6,576,021.00 ","1,951","2,022","$40,961,811.00 ","2,022","$20,764,071.00 ",297,302,"$4,462,800.00 ",302,"$2,416,175.00 ",988,"1,036","$22,024,235.00 ","1,036","$11,096,536.00 "
283900,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER,NY,112032098,Public,16,17,"$81,215.00 ",17,"$40,609.00 ",11,11,"$71,951.00 ",11,"$35,976.00 ",676,698,"$23,697,096.00 ",698,"$12,474,813.00 ",-,-, -,-, -,442,466,"$10,739,394.00 ",466,"$5,718,977.00 "
284000,STATE UNIVERSITY OF NEW YORK UPSTATE MEDICAL UNIVERSITY,NY,132102375,Public,87,88,"$413,969.00 ",88,"$183,102.00 ",87,87,"$504,024.00 ",87,"$222,962.00 ",373,378,"$11,765,301.00 ",379,"$5,840,983.00 ",2,3,"$51,227.00 ",3,"$20,742.00 ",257,271,"$5,104,485.00 ",273,"$2,523,271.00 "
284100,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,NY,144202914,Public,"2,103","2,133","$8,939,115.00 ","2,133","$4,524,954.00 ","2,480","2,717","$10,095,090.00 ","2,717","$5,125,583.00 ",484,500,"$7,359,454.00 ",500,"$3,759,102.00 ",253,266,"$3,053,456.00 ",266,"$1,568,179.00 ",5,5,"$34,016.00 ",5,"$19,435.00 "
284200,SUNY COLLEGE AT BUFFALO,NY,142221095,Public,"2,134","2,143","$8,867,507.00 ","2,143","$4,504,091.00 ","2,081","2,139","$7,782,961.00 ","2,139","$3,938,705.00 ",342,344,"$5,482,665.00 ",344,"$2,778,238.00 ",141,150,"$1,481,192.00 ",150,"$764,006.00 ",14,14,"$76,282.00 ",14,"$38,148.00 "
284300,SUNY COLLEGE AT CORTLAND,NY,130450900,Public,"2,677","2,677","$11,526,520.00 ","2,683","$5,905,668.00 ","3,315","3,316","$12,330,719.00 ","3,334","$6,303,573.00 ",169,170,"$2,638,664.00 ",175,"$1,370,993.00 ",482,488,"$6,709,664.00 ",492,"$3,493,979.00 ",7,7,"$55,791.00 ",7,"$30,145.00 "
284400,SUNY AT FREDONIA,NY,140631145,Public,"1,746","1,751","$7,368,282.00 ","1,751","$3,706,019.00 ","1,997","2,052","$7,210,700.00 ","2,052","$3,627,665.00 ",90,91,"$1,486,213.00 ",91,"$747,012.00 ",183,186,"$2,219,200.00 ",186,"$1,165,769.00 ",6,6,"$61,646.00 ",6,"$33,074.00 "
284500,SUNY COLLEGE AT GENESEO,NY,144541401,Public,996,"1,004","$4,258,898.00 ","1,005","$2,166,057.00 ","1,281","1,328","$5,016,334.00 ","1,328","$2,542,512.00 ",18,19,"$272,949.00 ",19,"$141,644.00 ",180,180,"$2,397,681.00 ",182,"$1,206,323.00 ",-,-, -,-, -
284600,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,NY,125612499,Public,"1,412","1,459","$6,020,733.00 ","1,459","$3,054,171.00 ","1,574","1,646","$6,303,586.00 ","1,646","$3,197,655.00 ",192,193,"$3,052,267.00 ",193,"$1,623,453.00 ",313,313,"$4,136,283.00 ",314,"$2,114,764.00 ",13,13,"$120,951.00 ",13,"$60,476.00 "
284700,"STATE UNIVERSITY OF NEW YORK, COLLEGE AT ONEONTA",NY,138204015,Public,"2,135","2,135","$9,148,015.00 ","2,139","$4,647,013.00 ","2,565","2,567","$9,378,923.00 ","2,578","$4,760,734.00 ",108,108,"$1,472,287.00 ",108,"$799,993.00 ",364,367,"$4,817,719.00 ",373,"$2,481,955.00 ",1,1,"$18,596.00 ",1,"$9,298.00 "
284800,STATE UNIVERSITY OF NEW YORK AT OSWEGO,NY,131263599,Public,"1,938","1,939","$8,408,383.00 ","1,943","$4,374,008.00 ","2,362","2,496","$9,522,029.00 ","2,503","$4,940,963.00 ",233,233,"$3,559,019.00 ",237,"$1,861,854.00 ",575,577,"$6,596,382.00 ",583,"$3,368,000.00 ",9,9,"$112,934.00 ",9,"$59,317.00 "
284900,STATE UNIVERSITY OF NEW YORK COLLEGE AT PLATTSBURGH,NY,129012681,Public,"1,854","1,874","$8,082,255.00 ","1,875","$4,081,438.00 ","2,050","2,100","$7,817,568.00 ","2,100","$3,967,509.00 ",194,206,"$3,318,008.00 ",206,"$1,700,332.00 ",220,224,"$2,961,077.00 ",236,"$1,542,198.00 ",17,17,"$181,983.00 ",17,"$86,937.00 "
285000,STATE UNIVERSITY OF NEW YORK COLLEGE AT POTSDAM,NY,136762294,Public,"1,003","1,013","$4,366,812.00 ","1,013","$2,206,036.00 ","1,175","1,201","$4,259,287.00 ","1,201","$2,154,445.00 ",67,67,"$1,095,494.00 ",67,"$584,354.00 ",111,114,"$1,342,020.00 ",114,"$717,993.00 ",7,8,"$44,471.00 ",8,"$24,919.00 "
285100,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY,NY,132102778,Public,347,348,"$1,417,120.00 ",348,"$717,401.00 ",419,428,"$1,808,803.00 ",428,"$929,320.00 ",31,32,"$456,247.00 ",32,"$228,125.00 ",116,117,"$1,541,397.00 ",117,"$782,659.00 ",2,2,"$18,884.00 ",2,"$9,442.00 "
285300,SUNY MARITIME COLLEGE,NY,104654198,Public,350,356,"$1,489,267.00 ",356,"$749,020.00 ",498,507,"$2,129,850.00 ",507,"$1,076,019.00 ",26,27,"$405,133.00 ",27,"$211,574.00 ",206,207,"$3,885,135.00 ",207,"$2,013,727.00 ",5,5,"$97,725.00 ",5,"$54,160.00 "
285400,SUNY COLLEGE OF TECHNOLOGY AT ALFRED,NY,148029951,Public,"1,855","1,856","$7,420,405.00 ","1,856","$3,760,418.00 ","2,009","2,012","$6,928,803.00 ","2,012","$3,497,408.00 ",-,-, -,-, -,322,339,"$4,318,044.00 ",339,"$2,340,906.00 ",-,-, -,-, -
285500,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT CANTON,NY,136171098,Public,"1,709","1,709","$6,905,366.00 ","1,710","$3,546,966.00 ","1,759","1,760","$7,703,510.00 ","1,761","$3,969,483.00 ",-,-, -,-, -,457,458,"$5,406,014.00 ",460,"$2,749,029.00 ",-,-, -,-, -
285600,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT COBLESKILL,NY,120439986,Public,766,770,"$3,151,585.00 ",770,"$1,572,876.00 ",774,780,"$2,605,350.00 ",781,"$1,296,300.00 ",-,-, -,-, -,234,247,"$3,321,655.00 ",248,"$1,658,902.00 ",-,-, -,-, -
285700,SUNY COLLEGE OF TECHNOLOGY AT DELHI,NY,137531190,Public,897,900,"$3,537,791.00 ",900,"$1,796,405.00 ","1,002","1,005","$3,971,384.00 ","1,005","$2,008,710.00 ",20,20,"$221,308.00 ",20,"$110,654.00 ",189,192,"$2,553,507.00 ",192,"$1,304,603.00 ",-,-, -,-, -
285900,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT MORRISVILLE,NY,134080901,Public,"1,008","1,008","$3,850,849.00 ","1,019","$1,925,482.00 ","1,063","1,063","$3,952,927.00 ","1,085","$1,961,653.00 ",-,-, -,-, -,321,321,"$4,573,486.00 ",327,"$2,296,302.00 ",-,-, -,-, -
286300,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,NY,148303297,Public,494,504,"$1,748,605.00 ",504,"$875,817.00 ",537,557,"$2,376,267.00 ",557,"$1,188,250.00 ",-,-, -,-, -,9,9,"$61,946.00 ",9,"$30,975.00 ",-,-, -,-, -
286600,FASHION INSTITUTE OF TECHNOLOGY,NY,100015992,Public,"1,365","1,368","$5,955,216.00 ","1,368","$3,114,215.00 ","1,579","1,598","$6,201,286.00 ","1,598","$3,258,495.00 ",39,39,"$687,884.00 ",39,"$375,634.00 ",274,280,"$6,135,886.00 ",281,"$3,278,369.00 ",8,8,"$148,291.00 ",8,"$81,202.00 "
286800,HUDSON VALLEY COMMUNITY COLLEGE,NY,121806096,Public,"1,227","1,241","$4,416,038.00 ","1,242","$1,128,080.00 ","1,185","1,205","$4,962,312.00 ","1,205","$1,244,527.00 ",-,-, -,-, -,11,12,"$86,932.00 ",14,"$37,166.00 ",-,-, -,-, -
286900,JAMESTOWN COMMUNITY COLLEGE,NY,147020020,Public,239,240,"$797,617.00 ",240,"$399,431.00 ",268,271,"$1,104,047.00 ",271,"$551,500.00 ",-,-, -,-, -,37,37,"$324,370.00 ",37,"$162,186.00 ",-,-, -,-, -
287000,JEFFERSON COMMUNITY COLLEGE,NY,136011897,Public,401,401,"$1,449,094.00 ",401,"$724,562.00 ",429,429,"$2,112,998.00 ",430,"$1,056,886.00 ",-,-, -,-, -,7,7,"$67,434.00 ",7,"$33,719.00 ",-,-, -,-, -
287300,NASSAU COMMUNITY COLLEGE,NY,115306793,Public,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -,2,2,"$7,586.00 ",2,"$7,586.00 ",-,-, -,-, -
287800,SUFFOLK COUNTY COMMUNITY COLLEGE,NY,117842899,Public,858,863,"$2,520,842.00 ",863,"$1,417,852.00 ",988,989,"$3,265,444.00 ",995,"$1,969,404.00 ",-,-, -,-, -,12,12,"$72,423.00 ",12,"$36,465.00 ",-,-, -,-, -
288000,ULSTER COUNTY COMMUNITY COLLEGE,NY,124840557,Public,116,117,"$394,836.00 ",121,"$206,424.00 ",115,120,"$541,308.00 ",125,"$278,476.00 ",-,-, -,-, -,1,1,"$3,500.00 ",1,"$1,750.00 ",-,-, -,-, -
288200,SYRACUSE UNIVERSITY,NY,132442130,Private-Nonprofit,"4,354","4,355","$19,201,250.00 ","4,365","$9,955,256.00 ","4,836","4,878","$14,993,969.00 ","4,939","$7,719,232.00 ","1,528","1,530","$22,084,642.00 ","1,536","$13,979,521.00 ",955,962,"$28,195,355.00 ","1,003","$14,776,368.00 ",711,732,"$12,697,207.00 ",760,"$8,280,695.00 "
288300,UTICA COLLEGE- UTICA,NY,135024892,Private-Nonprofit,"1,248","1,250","$5,430,717.00 ","1,250","$2,774,632.00 ","1,300","1,331","$4,771,445.00 ","1,331","$2,442,716.00 ",247,247,"$3,668,417.00 ",247,"$1,949,869.00 ",306,312,"$5,329,527.00 ",312,"$2,784,491.00 ",44,49,"$1,019,939.00 ",49,"$542,131.00 "
288500,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,NY,122083492,Private-Nonprofit,395,395,"$1,842,870.00 ",395,"$924,186.00 ",427,430,"$1,532,545.00 ",430,"$769,037.00 ",175,175,"$5,326,005.00 ",175,"$2,662,349.00 ",57,57,"$1,344,117.00 ",57,"$669,638.00 ",50,51,"$1,012,282.00 ",51,"$507,343.00 "
288600,ALBANY LAW SCHOOL OF UNION UNIVERSITY,NY,122083494,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,298,298,"$5,620,333.00 ",299,"$2,846,522.00 ",-,-, -,-, -,190,190,"$3,203,871.00 ",191,"$1,573,570.00 "
288700,ALBANY MEDICAL COLLEGE,NY,122083479,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,437,446,"$16,302,915.00 ",446,"$8,210,875.00 ",-,-, -,-, -,335,378,"$8,990,266.00 ",378,"$4,387,094.00 "
288900,UNION COLLEGE,NY,123082311,Private-Nonprofit,657,657,"$3,001,828.00 ",657,"$1,008,262.00 ",629,631,"$1,946,668.00 ",631,"$652,427.00 ",-,-, -,-, -,76,78,"$2,082,089.00 ",78,"$726,168.00 ",-,-, -,-, -
289000,UNION THEOLOGICAL SEMINARY,NY,100275710,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,61,61,"$1,142,310.00 ",61,"$578,280.00 ",-,-, -,-, -,30,30,"$356,820.00 ",30,"$178,410.00 "
289200,UNITED STATES MERCHANT MARINE ACADEMY,NY,110241634,Public,31,31,"$87,103.00 ",31,"$29,016.00 ",43,43,"$195,996.00 ",43,"$65,315.00 ",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
289400,UNIVERSITY OF ROCHESTER,NY,146279000,Private-Nonprofit,"1,919","1,923","$8,708,451.00 ","1,923","$4,407,573.00 ",959,"1,007","$3,397,812.00 ","1,007","$1,702,658.00 ",815,829,"$21,236,116.00 ",830,"$10,685,680.00 ",288,300,"$7,073,147.00 ",300,"$3,790,858.00 ",328,345,"$6,654,962.00 ",345,"$3,403,528.00 "
289500,VASSAR COLLEGE,NY,126040008,Private-Nonprofit,633,633,"$2,764,600.00 ",633,"$1,389,523.00 ",322,326,"$1,124,806.00 ",326,"$571,201.00 ",-,-, -,-, -,90,91,"$2,168,798.00 ",91,"$1,113,476.00 ",-,-, -,-, -
289600,VILLA MARIA COLLEGE OF BUFFALO,NY,142253999,Private-Nonprofit,224,224,"$926,803.00 ",224,"$463,153.00 ",220,220,"$954,309.00 ",220,"$477,156.00 ",-,-, -,-, -,9,9,"$105,740.00 ",9,"$52,870.00 ",-,-, -,-, -
289900,WAGNER COLLEGE,NY,103014495,Private-Nonprofit,518,519,"$2,311,178.00 ",520,"$1,166,064.00 ",657,665,"$2,383,781.00 ",674,"$1,220,739.00 ",37,37,"$583,840.00 ",38,"$334,880.00 ",146,146,"$3,577,389.00 ",150,"$1,990,758.00 ",9,9,"$256,504.00 ",9,"$128,252.00 "
290100,WELLS COLLEGE,NY,130260500,Private-Nonprofit,203,203,"$774,186.00 ",203,"$420,616.00 ",216,227,"$585,664.00 ",227,"$320,722.00 ",-,-, -,-, -,63,63,"$733,551.00 ",63,"$426,707.00 ",-,-, -,-, -
290300,YESHIVA UNIVERSITY,NY,100333201,Private-Nonprofit,142,144,"$581,462.00 ",144,"$317,521.00 ",178,179,"$713,615.00 ",179,"$376,742.00 ",779,791,"$14,658,224.00 ",792,"$7,549,926.00 ",70,72,"$1,001,611.00 ",72,"$527,155.00 ",418,458,"$12,016,892.00 ",460,"$6,114,202.00 "
290500,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,NC,274110001,Public,"6,261","6,356","$26,952,570.00 ","6,373","$13,502,459.00 ","6,436","6,985","$22,787,058.00 ","7,012","$11,436,074.00 ",595,613,"$10,010,739.00 ",625,"$5,032,023.00 ","1,486","1,552","$22,919,233.00 ","1,616","$11,726,659.00 ",40,42,"$375,666.00 ",44,"$192,426.00 "
290600,APPALACHIAN STATE UNIVERSITY,NC,286080001,Public,"5,154","5,192","$21,181,203.00 ","5,192","$10,890,602.00 ","6,156","6,247","$22,940,333.00 ","6,247","$11,784,922.00 ",761,797,"$10,388,430.00 ",797,"$5,269,940.00 ","1,131","1,156","$14,657,508.00 ","1,156","$7,556,580.00 ",21,21,"$224,094.00 ",21,"$116,525.00 "
290700,UNIVERSITY OF NORTH CAROLINA  ASHEVILLE,NC,288048503,Public,994,995,"$4,316,781.00 ","1,010","$2,165,556.00 ","1,140","1,144","$4,912,604.00 ","1,156","$2,465,718.00 ",-,-, -,-, -,97,97,"$1,126,869.00 ",99,"$573,037.00 ",-,-, -,-, -
290800,BARTON COLLEGE,NC,278933104,Private-Nonprofit,639,639,"$2,716,390.00 ",639,"$1,351,461.00 ",751,771,"$2,915,054.00 ",771,"$1,437,014.00 ",40,40,"$770,193.00 ",40,"$347,494.00 ",166,166,"$2,693,838.00 ",166,"$1,285,412.00 ",1,1,"$3,000.00 ",1,"$1,500.00 "
291000,BELMONT ABBEY COLLEGE,NC,280121802,Private-Nonprofit,530,530,"$2,258,280.00 ",530,"$1,046,250.00 ",664,713,"$2,968,022.00 ",713,"$1,374,982.00 ",-,-, -,-, -,273,273,"$4,199,012.00 ",273,"$2,101,476.00 ",-,-, -,-, -
291100,BENNETT COLLEGE,NC,274013239,Private-Nonprofit,77,77,"$361,040.00 ",77,"$180,520.00 ",74,81,"$203,784.00 ",81,"$101,892.00 ",-,-, -,-, -,10,10,"$195,490.00 ",10,"$97,744.00 ",-,-, -,-, -
